GONo,ABNo,Time,Vb [m3],VbT [m3],Vm [m3],VmT [m3],Diffrence,p.MP  [ bar],p.MP  [ psig],T.MP [{C],K.MP,C.MP,St.2,St.4,St.7,St.6,StSy,Ev,Check
11461,11448,"2024-11-12,13:00:00",462079.1474,462079.1474,245559,245559,1,1.9904,14.16836352,29.79,0.99861,1.86686,0,14,0,0,15,0x8104,CRC Ok
11462,11449,"2024-11-12,14:00:00",462081.1822,462081.1822,245560,245560,4,2.03515,14.81740857,29.85,0.99854,1.90862,0,14,0,0,15,0x8104,CRC Ok
11463,11450,"2024-11-12,15:00:00",462088.9274,462088.9274,245564,245564,138,2.06885,15.30618663,29.83,0.99849,1.94046,0,14,0,0,15,0x8104,CRC Ok
11464,11451,"2024-11-12,16:00:00",462357.9951,462357.9951,245702,245702,256,2.07779,15.4358506,29.75,0.99847,1.94939,0,14,0,0,15,0x8104,CRC Ok
11465,11452,"2024-11-12,17:00:00",462858.8333,462858.8333,245958,245958,108,2.08767,15.57914815,29.65,0.99844,1.95933,0,14,0,0,15,0x8104,CRC Ok
11466,11453,"2024-11-12,18:00:00",463070.6894,463070.6894,246066,246066,0,2.1468,16.43675784,29.59,0.99833,2.01547,0,14,0,0,15,0x8104,CRC Ok
11467,11454,"2024-11-12,19:00:00",463070.6894,463070.6894,246066,246066,0,2.20151,17.23026074,29.51,0.99821,2.06767,0,14,0,0,15,0x8104,CRC Ok
11468,11455,"2024-11-12,20:00:00",463070.6894,463070.6894,246066,246066,0,2.12648,16.14204062,29.33,0.99833,1.99809,0,14,0,0,15,0x8104,CRC Ok
11469,11456,"2024-11-12,21:00:00",463070.6894,463070.6894,246066,246066,0,2.06384,15.23352259,29.08,0.99845,1.94063,0,14,0,0,15,0x8104,CRC Ok
11470,11457,"2024-11-12,22:00:00",463070.6894,463070.6894,246066,246066,0,2.05421,15.093851,28.8,0.99846,1.93332,0,14,0,0,15,0x8104,CRC Ok
11471,11458,"2024-11-12,23:00:00",463070.6894,463070.6894,246066,246066,4,2.05578,15.11662196,28.51,0.99844,1.93673,0,14,0,0,15,0x8104,CRC Ok
11472,11459,"2024-11-13,00:00:00",463078.517,463078.517,246070,246070,11,2.0975,15.7217205,28.85,0.99838,1.97391,0,14,0,0,15,0x8104,CRC Ok
11473,11460,"2024-11-13,01:00:00",463100.2355,463100.2355,246081,246081,22,2.09794,15.72810217,29.12,0.9984,1.97255,0,14,0,0,15,0x8104,CRC Ok
