GONo	ABNo	Time	Vb [m3]	VbT [m3]	Vm [m3]	VmT [m3]	p.Day [ bar]	T.Day [{C]	K.Day	C.Day	St.2	St.4	St.7	St.6	StSy	Ev	Check
6770	284	2024-05-01,06:00:00	3.8476	3.8476	4	4	0.9933	34.67	1.00049	0.91517	0	14	0	0	15	0x8103	CRC Ok
6794	285	2024-05-02,06:00:00	3.8476	3.8476	4	4	0.99336	34.65	1.00048	0.91528	0	14	0	0	15	0x8103	CRC Ok
6818	286	2024-05-03,06:00:00	3.8476	3.8476	4	4	0.99503	34.14	1.00047	0.91837	0	14	0	0	15	0x8103	CRC Ok
6842	287	2024-05-04,06:00:00	3.8476	3.8476	4	4	0.99936	32.86	1.00044	0.92624	0	14	0	0	15	0x8103	CRC Ok
6866	288	2024-05-05,06:00:00	3.8476	3.8476	4	4	0.99853	32.99	1.00045	0.92507	0	14	0	0	15	0x8103	CRC Ok
6890	289	2024-05-06,06:00:00	3.8476	3.8476	4	4	0.99825	32.01	1.00042	0.92781	0	14	0	0	15	0x8103	CRC Ok
6914	290	2024-05-07,06:00:00	3.8476	3.8476	4	4	1.00323	29.08	1.00035	0.94156	0	14	0	0	15	0x8103	CRC Ok
6938	291	2024-05-08,06:00:00	3.8476	3.8476	4	4	1.00565	27.96	1.00033	0.94735	0	14	0	0	15	0x8103	CRC Ok
6962	292	2024-05-09,06:00:00	3.8476	3.8476	4	4	1.00574	27.69	1.00032	0.94828	0	14	0	0	15	0x8103	CRC Ok
6986	293	2024-05-10,06:00:00	3.8476	3.8476	4	4	1.00447	28.15	1.00033	0.94563	0	14	0	0	15	0x8103	CRC Ok
7010	294	2024-05-11,06:00:00	3.8476	3.8476	4	4	1.00416	29.09	1.00035	0.94239	0	14	0	0	15	0x8103	CRC Ok
7034	295	2024-05-12,06:00:00	3.8476	3.8476	4	4	1.00593	28.46	1.00034	0.94605	0	14	0	0	15	0x8103	CRC Ok
7058	296	2024-05-13,06:00:00	3.8476	3.8476	4	4	1.00532	28.67	1.00034	0.94481	0	14	0	0	15	0x8103	CRC Ok
7082	297	2024-05-14,06:00:00	3.8476	3.8476	4	4	1.00381	29.7	1.00037	0.94016	0	14	0	0	15	0x8103	CRC Ok
7106	298	2024-05-15,06:00:00	3.8476	3.8476	4	4	1.00307	30.53	1.00039	0.93687	0	14	0	0	15	0x8103	CRC Ok
7130	299	2024-05-16,06:00:00	3.8476	3.8476	4	4	1.00381	30.78	1.00039	0.93679	0	14	0	0	15	0x8103	CRC Ok
7154	300	2024-05-17,06:00:00	3.8476	3.8476	4	4	1.0017	31.65	1.00041	0.93213	0	14	0	0	15	0x8103	CRC Ok
7178	301	2024-05-18,06:00:00	3.8476	3.8476	4	4	0.99965	32.52	1.00043	0.92755	0	14	0	0	15	0x8103	CRC Ok
7202	302	2024-05-19,06:00:00	3.8476	3.8476	4	4	0.99979	31.16	1.0004	0.93185	0	14	0	0	15	0x8103	CRC Ok
7226	303	2024-05-20,06:00:00	3.8476	3.8476	4	4	0.99932	30.14	1.00038	0.93457	0	14	0	0	15	0x8103	CRC Ok
7250	304	2024-05-21,06:00:00	3.8476	3.8476	4	4	1.00048	29.55	1.00037	0.93748	0	14	0	0	15	0x8103	CRC Ok
7274	305	2024-05-22,06:00:00	3.8476	3.8476	4	4	0.99964	30.19	1.00038	0.93471	0	14	0	0	15	0x8103	CRC Ok
7298	306	2024-05-23,06:00:00	3.8476	3.8476	4	4	0.99903	31.32	1.00041	0.93064	0	14	0	0	15	0x8103	CRC Ok
7322	307	2024-05-24,06:00:00	3.8476	3.8476	4	4	0.9963	32.41	1.00044	0.92477	0	14	0	0	15	0x8103	CRC Ok
7346	308	2024-05-25,06:00:00	3.8476	3.8476	4	4	0.99392	33.35	1.00046	0.91973	0	14	0	0	15	0x8103	CRC Ok
7370	309	2024-05-26,06:00:00	3.8476	3.8476	4	4	0.99245	33.85	1.00047	0.91685	0	14	0	0	15	0x8103	CRC Ok
7394	310	2024-05-27,06:00:00	3.8476	3.8476	4	4	0.99084	32.22	1.00044	0.92028	0	14	0	0	15	0x8103	CRC Ok
7418	311	2024-05-28,06:00:00	3.8476	3.8476	4	4	0.98345	29.44	1.0004	0.92184	0	14	0	0	15	0x8103	CRC Ok
